,Club,Season,League,League,League,National cup,National cup,League cup,League cup,Continental,Continental,Other,Other,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,Ventforet Kofu,2015,J1 League,30,4,2,0,6,0,—,—,—,—,38,4
1,Kashiwa Reysol,2016,J1 League,33,7,2,0,6,0,—,—,—,—,41,7
2,Kashiwa Reysol,2017,J1 League,34,6,4,0,4,0,—,—,—,—,42,6
3,Kashiwa Reysol,2018,J1 League,34,6,1,1,0,0,6[a],2,—,—,41,9
4,Kashiwa Reysol,Total,Total,101,19,7,1,10,0,6,2,—,—,124,22
5,Genk (loan),2018–19,Belgian First Division A,13,3,0,0,—,—,1[b],0,—,—,14,3
6,Genk (loan),2019–20,Belgian First Division A,29,5,2,1,—,—,6[c],0,1[d],0,38,6
7,Genk (loan),Total,Total,42,8,2,1,—,—,6,0,1,0,52,9
8,Genk,2020–21,Belgian First Division A,38,11,4,1,—,—,—,—,—,—,42,12
9,Genk,2021–22,Belgian First Division A,39,8,1,0,—,—,8[e],0,1[d],0,49,8
10,Genk,Total,Total,77,19,5,1,—,—,8,0,1,0,91,20
11,Reims,2022–23,Ligue 1,8,3,0,0,—,—,—,—,—,—,8,3
12,Career total,Career total,Career total,258,52,16,3,16,0,21,2,2,0,313,58
