,Club,Season,League,League,League,National Cup,National Cup,Continental,Continental,Other,Other,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,Sint-Truiden,2012–13,Belgian Second Division,26,1,4,1,—,—,—,—,30,2
1,Sint-Truiden,2013–14,Belgian Second Division,19,1,0,0,—,—,5[a],0,24,1
2,Sint-Truiden,2014–15,Belgian Second Division,23,2,2,0,—,—,—,—,25,2
3,Sint-Truiden,2015–16,Belgian Pro League,19,5,2,0,—,—,—,—,21,5
4,Sint-Truiden,Total,Total,87,9,8,1,0,0,5,0,100,10
5,Standard Liège,2015–16,Belgian Pro League,11,2,3,1,0,0,0,0,14,3
6,Standard Liège,2016–17,Belgian First Division A,27,5,1,0,6[b],0,5[c],1,39,6
7,Standard Liège,2017–18,Belgian First Division A,34,10,3,1,0,0,0,0,37,11
8,Standard Liège,Total,Total,72,17,7,2,6,0,5,1,90,20
9,Al-Duhail SC,2018–19,Qatar Stars League,22,4,5,4,2[d],0,1[e],0,30,8
10,Al-Duhail SC,2019–20,Qatar Stars League,19,6,3,2,8[d],2,0,0,30,10
11,Al-Duhail SC,2020–21,Qatar Stars League,16,12,1,0,4[d],1,7[f],2,28,15
12,Al-Duhail SC,2021–22,Qatar Stars League,17,6,0,0,6[d],1,4[g],1,27,8
13,Al-Duhail SC,2022–23,Qatar Stars League,3,0,0,0,6[d],8,0,0,9,8
14,Al-Duhail SC,Total,Total,77,27,9,6,26,12,12,3,124,48
15,Career total,Career total,Career total,236,55,24,8,32,12,22,4,314,79
