,Club,Season,League,League,League,State League,State League,Cup,Cup,Continental,Continental,Other,Other,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,Joinville,2016,Série B,0,0,4,0,0,0,—,—,—,—,4,0
1,Joinville,2017,Série C,9,1,13,1,5,1,—,—,1[a],0,28,3
2,Joinville,2018,Série C,16,2,10,1,1,0,—,—,—,—,27,3
3,Joinville,Total,Total,25,3,27,2,6,1,—,—,1,0,59,6
4,Juventus Jaraguá (loan),2016,Catarinense Série B,—,—,7,1,—,—,—,—,—,—,7,1
5,Juventude,2019,Série C,17,4,11,1,8,1,—,—,—,—,36,6
6,Juventude,2020,Série B,19,9,3,2,4,0,—,—,—,—,26,11
7,Juventude,Total,Total,36,13,14,3,12,1,—,—,—,—,62,17
8,Figueirense (loan),2019,Série B,12,2,—,—,—,—,—,—,—,—,12,2
9,Athletico Paranaense (loan),2020,Série A,0,0,5,1,0,0,—,—,0,0,5,1
10,Palmeiras,2020,Série A,18,2,—,—,—,—,5[b],1,—,—,23,3
11,Palmeiras,2021,Série A,22,7,3,1,1,0,3[b],0,3[c],0,32,8
12,Palmeiras,Total,Total,40,9,3,1,1,0,8,1,3,0,55,11
13,Career total,Career total,Career total,113,27,56,8,19,2,8,1,4,0,200,38
