,Club,Season,League,League,League,National Cup,National Cup,League Cup,League Cup,Continental,Continental,Other,Other,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,São Paulo,2010,Série A,25,4,0,0,—,—,0,0,0,0,25,4
1,São Paulo,2011,Série A,28,9,4,0,—,—,3,1,8[a],3,43,13
2,São Paulo,2012,Série A,21,6,9,2,—,—,9,2,21[a],6,60,16
3,São Paulo,Total,Total,74,19,13,2,—,—,12,3,29,9,128,33
4,Paris Saint-Germain,2012–13,Ligue 1,10,0,1,0,0,0,4[b],0,—,—,15,0
5,Paris Saint-Germain,2013–14,Ligue 1,36,5,2,0,4,0,10[b],0,1[c],0,53,5
6,Paris Saint-Germain,2014–15,Ligue 1,29,7,4,1,4,0,8[b],0,1[c],0,46,8
7,Paris Saint-Germain,2015–16,Ligue 1,36,9,6,1,4,1,9[b],2,1[c],0,56,13
8,Paris Saint-Germain,2016–17,Ligue 1,37,12,5,3,3,2,7[b],1,1[c],1,53,19
9,Paris Saint-Germain,2017–18,Ligue 1,5,1,0,0,1,0,0,0,0,0,6,1
10,Paris Saint-Germain,Total,Total,153,34,18,5,16,3,38,3,4,1,229,46
11,Tottenham Hotspur,2017–18,Premier League,6,0,4,1,—,—,1[b],0,—,—,11,1
12,Tottenham Hotspur,2018–19,Premier League,32,10,2,0,3,0,12[b],5,—,—,49,15
13,Tottenham Hotspur,2019–20,Premier League,35,4,5,2,1,0,6[b],1,—,—,47,7
14,Tottenham Hotspur,2020–21,Premier League,30,3,3,1,4,0,13[d],5,—,—,50,9
15,Tottenham Hotspur,2021–22,Premier League,34,2,2,1,4,2,5[e],1,—,—,45,6
16,Tottenham Hotspur,2022–23,Premier League,7,0,0,0,0,0,3[b],0,—,—,10,0
17,Tottenham Hotspur,Total,Total,144,19,16,5,12,2,40,12,—,—,212,38
18,Career total,Career total,Career total,371,72,47,12,28,4,90,18,33,10,569,117
