,Club,Season,League,League,League,National cup,National cup,League cup,League cup,Europe,Europe,Other,Other,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,Manchester City,2012–13[35],Premier League,—,—,1,1,—,—,—,—,—,—,1,1
1,Manchester City,2013–14[36],Premier League,—,—,1,0,3,0,—,—,—,—,4,0
2,Manchester City,Total,Total,0,0,2,1,3,0,0,0,0,0,5,1
3,Lille (loan),2014–15[37],Ligue 1,23,3,—,—,1,0,3[a],0,—,—,27,3
4,Lille (loan),2015–16[38],Ligue 1,12,2,1,1,3,0,—,—,—,—,16,3
5,Lille (loan),2016–17[38],Ligue 1,25,4,2,2,0,0,2[b],0,—,—,29,6
6,Lille (loan),Total,Total,60,9,3,3,4,0,5,0,0,0,72,12
7,Monaco,2015–16[38],Ligue 1,2,0,—,—,—,—,—,—,—,—,2,0
8,Monaco,2017–18[38],Ligue 1,38,15,2,1,4,0,5[c],1,1[d],0,50,17
9,Monaco,2018–19[38],Ligue 1,24,2,2,0,2,2,0,0,1[d],0,29,4
10,Monaco,2019–20[38],Ligue 1,1,0,0,0,0,0,0,0,0,0,1,0
11,Monaco,Total,Total,65,17,4,1,6,2,5,1,2,0,82,21
12,Sevilla,2019–20[38],La Liga,5,0,2,0,—,—,7[b],0,—,—,14,0
13,Nice (loan),2020–21[38],Ligue 1,28,3,1,2,—,—,4[b],0,—,—,33,5
14,Olympiacos,2021–22[38],Super League Greece,18,3,3,1,—,—,6[b],0,—,—,27,4
15,Troyes (loan),2022–23,Ligue 1,2,0,0,0,—,—,—,—,—,—,2,0
16,Career total,Career total,Career total,178,32,15,8,16,2,24,1,2,0,235,43
