,Club,Season,League,League,League,National cup,National cup,League cup,League cup,Europe,Europe,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,Metz,2016–17,Ligue 1,31,5,0,0,2,0,—,—,33,5
1,Rennes,2017–18,Ligue 1,24,5,1,0,2,0,—,—,27,5
2,Rennes,2018–19,Ligue 1,35,8,5,1,1,0,9[a],4,50,13
3,Rennes,Total,Total,59,13,6,1,3,0,9,4,77,18
4,Watford,2019–20,Premier League,28,5,0,0,2,1,—,—,30,6
5,Watford,2020–21,Championship,39,13,1,0,0,0,—,—,40,13
6,Watford,2021–22,Premier League,22,5,0,0,0,0,—,—,22,5
7,Watford,2022–23,Championship,14,6,0,0,0,0,—,—,14,6
8,Watford,Total,Total,102,29,1,0,2,1,—,—,105,30
9,Career total,Career total,Career total,193,46,7,1,7,1,9,4,216,52
